Employee_ID,Performance_Rating,Ideal_Employee_Score
2024/Marketing/3667,22,1.565186
2024/Marketing/3138,24,1.463627
2024/IT/0815,20,1.445659
2024/HR/2850,19,1.419102
2024/HR/0741,20,1.330086
2024/Marketing/2043,23,1.314545
2024/Marketing/0155,15,1.292014
2024/Finance/3024,14,1.287093
2024/Sales/2760,20,1.283893
2024/Finance/3225,16,1.275107
2024/Sales/0918,19,1.274141
2024/Sales/0826,16,1.256916
2024/IT/1243,17,1.249716
2024/HR/2183,19,1.224914
2024/Sales/2095,18,1.208882
2024/Sales/1846,20,1.206816
2024/Finance/0399,18,1.206636
2024/Sales/2626,19,1.202705
2024/Finance/2599,16,1.20237
2024/HR/0157,18,1.20108
