Employee_ID,Department,Job_Title,Performance_Rating,Training_ROI,Mentorship_Dependency,Avg_Skills_Score,Avg_Soft_Skills_Score,Employee_Work_Life_Balance_Rating,Advanced_Training_Readiness,Training_Program,Number_Of_Promotions
2024/Marketing/0155,Marketing,Developer,15,0.3947,0.4375,9.2,13.5,15,0.9018,Unknown,0
2024/Marketing/3673,Finance,Manager,13,0.26,0.5,10.2,11.0,16,0.842,Basic,2
2024/Marketing/3138,It,Consultant,24,0.5217,0.4,9.4,9.0,13,0.8267,Unknown,1
2024/Finance/2770,Marketing,Consultant,14,0.359,0.3333,8.0,10.0,16,0.8202,Advanced,2
2024/IT/0096,Sales,Manager,18,0.36,0.3684,8.4,11.25,13,0.8056,Basic,0
2024/Sales/2154,Marketing,Consultant,8,0.2105,0.8889,7.4,10.75,20,0.8056,Basic,1
2024/HR/2363,Sales,Manager,11,0.2391,0.4167,11.0,10.5,13,0.8026,Advanced,2
2024/Marketing/0443,Hr,Developer,12,0.2667,0.6923,9.8,9.0,16,0.7846,Unknown,2
2024/IT/3804,Marketing,Analyst,11,0.22,0.4167,10.6,9.5,14,0.7839,Advanced,0
2024/Finance/0172,Marketing,Analyst,19,0.3654,0.45,7.8,8.5,16,0.7791,Basic,0
2024/Finance/0304,Finance,Developer,10,0.1923,0.5455,11.2,7.25,17,0.7788,Advanced,0
2024/Finance/1282,Sales,Analyst,7,0.1373,0.375,10.4,9.0,16,0.7783,Basic,0
2024/HR/0725,Sales,Developer,15,0.3333,0.5,8.6,11.25,12,0.777,Unknown,2
2024/Finance/3065,Sales,Analyst,10,0.2564,0.3636,11.2,10.0,11,0.7759,Advanced,1
2024/Finance/0945,Finance,Consultant,17,0.3696,0.3333,8.6,10.5,11,0.7704,Advanced,1
2024/HR/0531,Marketing,Manager,14,0.2333,0.4667,8.4,11.75,13,0.7703,Unknown,0
2024/Finance/2111,It,Consultant,12,0.2667,0.3846,9.2,8.5,15,0.7673,Basic,2
2024/HR/2850,Finance,Developer,19,0.5135,0.4,7.8,10.75,9,0.7672,Advanced,2
2024/Marketing/3667,Marketing,Developer,22,0.5789,0.4783,8.6,8.5,10,0.7672,Advanced,0
2024/Finance/0110,Finance,Manager,12,0.2791,0.8462,10.6,12.75,9,0.767,Unknown,0
