Employee_ID,Predicted_Success_Probability,Project_Outcome,Department,Job_Title,Project_Role,Performance_Rating
2024/Sales/2269,0.6456105725229626,Failed,Finance,Manager,Manager,9
2024/HR/3260,0.6428409292552253,Failed,It,Developer,Developer,8
2024/HR/2163,0.638760661929241,Successful,Sales,Analyst,Developer,9
2024/HR/2193,0.6382603766101521,Failed,Marketing,Analyst,Manager,8
2024/Finance/3302,0.6325767176373894,Successful,Marketing,Analyst,Analyst,7
2024/Marketing/1012,0.6313026182260186,Failed,Marketing,Manager,Developer,16
2024/Finance/0430,0.6290253934269873,Failed,Sales,Analyst,Analyst,8
2024/HR/2216,0.6237244478373624,Failed,It,Analyst,Manager,8
2024/Sales/2695,0.6187695342201422,Successful,Finance,Developer,Manager,9
2024/Marketing/3184,0.6178544793294052,Successful,Hr,Consultant,Manager,10
2024/IT/3485,0.6174154763396732,Successful,Finance,Developer,Developer,9
2024/Finance/3839,0.6162241027295214,Successful,Finance,Analyst,Developer,9
2024/IT/0285,0.6155521941147577,Failed,It,Consultant,Manager,8
2024/Marketing/1764,0.6150239889554829,Failed,Marketing,Developer,Manager,8
2024/Finance/3850,0.6139937372971019,Successful,Marketing,Manager,Manager,10
2024/IT/3806,0.6133151890036546,Failed,Sales,Analyst,Manager,10
2024/HR/3210,0.6131648235303874,Failed,Marketing,Consultant,Developer,8
2024/IT/2165,0.6124078525333752,Successful,Finance,Manager,Developer,10
2024/IT/1832,0.6118233931886147,Successful,Finance,Manager,Developer,7
2024/HR/0621,0.6115606824304795,Successful,Hr,Consultant,Analyst,7
2024/Finance/3315,0.610440397939993,Successful,Marketing,Developer,Developer,11
2024/IT/1904,0.610213685883623,Successful,Finance,Developer,Analyst,8
2024/IT/3951,0.6097157592320087,Successful,Hr,Consultant,Developer,6
2024/Marketing/0243,0.6085979416885122,Successful,Marketing,Consultant,Manager,11
2024/Sales/3021,0.6067024114500145,Successful,Finance,Manager,Manager,8
2024/Sales/3026,0.6066056087825841,Failed,Finance,Manager,Analyst,10
2024/Sales/2618,0.6065754652270464,Failed,Hr,Developer,Developer,10
2024/HR/0159,0.6061893623022547,Failed,Hr,Analyst,Manager,10
2024/Finance/1252,0.6055854775649168,Successful,Hr,Consultant,Analyst,8
2024/Marketing/2257,0.6053063158126342,Failed,Hr,Manager,Analyst,10
