Employee_ID,Predicted_Resignation_Probability,Attrition_Risk_Tier,Employee_Resignation_Status,Department,Job_Title,Project_Role,Performance_Rating,Employee_Engagement_Score,Employee_Job_Satisfaction_Score,Employee_Work_Life_Balance_Rating,Compensation_Score
2024/IT/2964,0.6316415312525743,Critical,Yes,It,Developer,Developer,9,78,10,9,4979
2024/IT/1318,0.6227422018455875,Critical,Yes,Sales,Consultant,Manager,7,79,6,9,4964
2024/Marketing/0028,0.6223597948868596,Critical,No,It,Manager,Analyst,6,80,14,9,5135
2024/Finance/1454,0.6214927095982519,Critical,Yes,Sales,Manager,Manager,10,67,8,6,5041
2024/Finance/2307,0.6209829334382994,Critical,Yes,Hr,Analyst,Analyst,8,67,9,6,4985
2024/IT/3624,0.6203776027703554,Critical,Yes,Finance,Developer,Analyst,10,72,12,3,5135
2024/IT/1294,0.6197570691726838,Critical,Yes,Marketing,Analyst,Manager,10,84,6,8,5062
2024/Sales/0101,0.615675769146518,Critical,No,Hr,Manager,Developer,10,72,13,2,5002
2024/Marketing/0070,0.6147712565853073,Critical,Yes,Hr,Consultant,Analyst,10,78,6,6,5197
2024/HR/0991,0.6136968286390442,Critical,No,Sales,Manager,Analyst,15,82,14,3,5072
2024/Finance/2578,0.6126194051368076,Critical,No,It,Analyst,Analyst,12,64,8,10,5026
2024/Sales/2287,0.6100802613801557,Critical,No,Sales,Consultant,Manager,11,76,7,10,5126
2024/HR/1804,0.6097209340336017,Critical,Yes,Sales,Manager,Analyst,9,75,9,9,5063
2024/Sales/0407,0.6053968865028136,Critical,Yes,Finance,Manager,Manager,9,79,8,7,5139
2024/Sales/0062,0.6051853659001322,Critical,No,Finance,Analyst,Analyst,8,91,13,9,5054
2024/Sales/2405,0.6049706992226979,Critical,Yes,Sales,Consultant,Manager,10,66,14,6,5152
2024/Sales/2089,0.6048730145571184,Critical,Yes,It,Analyst,Analyst,10,83,9,1,5000
2024/HR/3780,0.604861299276265,Critical,Yes,It,Consultant,Analyst,6,64,9,7,5021
2024/Finance/0568,0.60440377834351,Critical,No,Finance,Analyst,Developer,7,101,13,9,5059
2024/Sales/3257,0.6043064996719206,Critical,No,Sales,Analyst,Developer,14,65,8,9,5192
2024/Sales/1193,0.6004310590663944,Critical,No,Marketing,Consultant,Manager,19,88,7,7,5146
2024/HR/2467,0.6001198775834596,Critical,No,Marketing,Consultant,Analyst,15,82,10,7,5135
2024/Sales/2590,0.5999965796122838,Critical,Yes,It,Analyst,Analyst,13,80,8,6,4823
2024/Marketing/2550,0.5998348558059552,Critical,Yes,Marketing,Manager,Developer,8,67,4,9,5036
2024/Finance/1330,0.5996967969218999,Critical,No,Finance,Manager,Developer,11,90,6,14,5196
2024/Sales/1241,0.5978674327528389,Critical,No,Finance,Manager,Analyst,10,93,3,10,5108
2024/Marketing/1908,0.5977306530092893,Critical,Yes,Sales,Analyst,Developer,19,78,9,5,5131
2024/HR/2931,0.5970253571752974,Critical,No,Hr,Consultant,Manager,10,83,8,4,5034
2024/Finance/0502,0.596908724595937,Critical,No,It,Developer,Manager,12,82,9,5,5055
2024/Marketing/0224,0.5968555481501235,Critical,No,Hr,Developer,Analyst,13,96,9,7,5160
2024/Finance/1437,0.5966808916230174,Critical,No,Finance,Manager,Analyst,11,78,9,11,5173
2024/Marketing/3654,0.5965624748315704,Critical,No,Hr,Analyst,Developer,18,68,12,3,4972
2024/Marketing/0895,0.5961749913539317,Critical,Yes,Marketing,Manager,Analyst,12,63,8,8,5036
2024/Sales/3799,0.5961510831771151,Critical,Yes,Marketing,Manager,Developer,7,79,6,5,5154
2024/Marketing/0903,0.595481199006877,Critical,Yes,Finance,Manager,Analyst,9,86,6,7,4988
2024/Marketing/1253,0.5947355128930273,Critical,Yes,Sales,Manager,Developer,11,74,9,4,4999
2024/Marketing/0946,0.5943130964884576,Critical,Yes,It,Manager,Manager,10,83,11,2,4986
2024/Marketing/1051,0.5940284101156769,Critical,No,Marketing,Analyst,Developer,13,70,5,8,5108
2024/HR/0339,0.5930217561836296,Critical,Yes,Marketing,Developer,Analyst,8,74,10,7,4974
2024/IT/3132,0.5929562779030286,Critical,Yes,Sales,Consultant,Manager,10,86,12,7,5216
