Compensation_Score,Expected_Compensation,Compensation_Gap,Compensation_Gap_Pct,Performance_Rating,Avg_Skills_Score,Avg_Soft_Skills_Score,Department,Job_Title,Project_Role
4834,5009.700699946893,-175.7006999468931,-3.507209521494082,12,10.4,8.0,Hr,Consultant,Developer
4847,5008.109710180007,-161.1097101800069,-3.2169764542601467,12,8.8,5.75,It,Manager,Manager
4840,4999.25868098288,-159.25868098287992,-3.1856459356403786,12,9.6,6.25,Marketing,Manager,Developer
4836,4994.923456979671,-158.92345697967085,-3.1816995465185496,16,9.8,9.25,Finance,Analyst,Developer
4858,5011.2866143286365,-153.28661432863646,-3.0588275252576493,14,10.0,6.75,It,Consultant,Developer
4858,5006.731406715162,-148.73140671516194,-2.9706288321294685,14,9.6,7.5,Hr,Consultant,Analyst
4854,4999.115835719853,-145.11583571985284,-2.902830030121851,13,11.6,5.5,Hr,Manager,Manager
4847,4990.344958944839,-143.34495894483916,-2.8724458955067522,13,8.8,5.75,Sales,Developer,Analyst
4845,4987.3192089636295,-142.31920896362953,-2.8536214146437926,15,8.8,8.0,Finance,Manager,Manager
4862,5002.318069622081,-140.31806962208066,-2.805060927136957,12,9.2,7.25,It,Manager,Manager
4858,4996.623761737872,-138.62376173787197,-2.774348607141422,14,11.0,6.0,Hr,Manager,Analyst
4861,4998.707181525825,-137.70718152582504,-2.7548559362461145,12,10.2,8.25,It,Developer,Developer
4869,4998.908817818762,-129.90881781876215,-2.5987434968947265,14,9.6,7.75,It,Consultant,Developer
4866,4994.171169787688,-128.1711697876881,-2.56641523548615,14,9.4,9.25,Sales,Manager,Analyst
4878,5005.11389331228,-127.1138933122802,-2.539680335389109,12,10.6,8.0,Marketing,Consultant,Manager
4866,4992.499029252584,-126.49902925258357,-2.5337817496085013,12,9.0,8.0,Hr,Manager,Analyst
4884,5010.143104058008,-126.14310405800825,-2.5177545119587017,13,8.8,8.0,Marketing,Analyst,Developer
4877,4999.570419734759,-122.57041973475862,-2.451619028125647,12,9.2,7.0,Finance,Consultant,Developer
4893,5013.016138746971,-120.01613874697068,-2.3940904123434428,12,10.6,8.5,Hr,Manager,Developer
4868,4982.212544899483,-114.21254489948296,-2.292406112148056,12,8.8,6.75,Finance,Manager,Manager
4867,4981.1545243700575,-114.15452437005752,-2.2917282290995393,13,10.8,7.5,It,Analyst,Developer
4886,5000.082625159999,-114.08262515999922,-2.2816147994424125,15,10.4,6.75,Finance,Developer,Manager
4883,4996.757066288722,-113.75706628872194,-2.2766179099680257,15,9.8,8.5,It,Developer,Developer
4892,5001.66085010871,-109.66085010871029,-2.1924887231473686,12,9.2,6.75,Sales,Manager,Developer
4878,4984.676474808548,-106.67647480854794,-2.140088235368278,14,10.6,5.75,Marketing,Consultant,Analyst
4895,4999.60171541249,-104.6017154124902,-2.092200966529592,15,9.2,8.5,It,Developer,Developer
4898,5002.657838138125,-104.65783813812504,-2.092044699524689,14,9.8,7.75,Hr,Analyst,Manager
4887,4990.83096153346,-103.83096153346014,-2.0804343471804843,12,9.8,7.25,Finance,Consultant,Analyst
4895,4998.075125768211,-103.07512576821136,-2.0622964476222947,14,9.4,8.25,Finance,Developer,Manager
4902,5005.11577606184,-103.11577606183982,-2.0602076090830033,12,10.0,8.5,Sales,Analyst,Manager
4902,5004.4713585219115,-102.4713585219115,-2.0475960632168904,12,9.6,8.25,It,Analyst,Developer
4900,5002.319795715645,-102.31979571564534,-2.0454469105169872,13,9.6,7.75,Finance,Developer,Manager
4889,4990.934090068593,-101.93409006859292,-2.042385017093904,13,10.6,6.5,Marketing,Analyst,Analyst
4895,4994.7126679426965,-99.7126679426965,-1.9963644472018802,18,9.4,7.25,It,Developer,Analyst
4900,4999.308683297356,-99.30868329735586,-1.98644831892748,12,9.4,8.25,Marketing,Analyst,Analyst
4899,4990.400896879107,-91.40089687910677,-1.831534154626074,13,10.4,8.75,Marketing,Developer,Analyst
